,uid,latitude,longitude,date,split,geometry,index_right,index,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,NAME_y,median_household_income,median_family_income,total_pop_race,poverty,total_pop,white,black,asian,hispanic_latino,aian,nhpi,other,multi,state,county,tract,poverty_rate,percent_white,percent_black,percent_asian,percent_nonwhite,percent_hispanic_latino,percent_aian,percent_nhpi,percent_other,percent_multi,poverty_rate_state,percent_white_state,percent_black_state,percent_asian_state,percent_aian_state,percent_nhpi_state,percent_other_state,percent_multi_state,percent_hispanic_latino_state,percent_nonwhite_state,NAME,median_household_income_state_overall,median_family_income_state_overall,total_pop_race_state_overall,poverty_state_overall,total_pop_state_overall,white_state_overall,black_state_overall,asian_state_overall,hispanic_latino_state_overall,aian_state_overall,nhpi_state_overall,other_state_overall,multi_state_overall,poverty_rate_bin,percent_white_bin,percent_black_bin,percent_asian_bin,percent_aian_bin,percent_nhpi_bin,percent_other_bin,percent_multi_bin,percent_hispanic_latino_bin,percent_nonwhite_bin,missing_pop,low_income
0,aabm,39.0803190688889,-86.4308666666667,2018-05-14,train,POINT (-86.4308666666667 39.0803190688889),51336.0,923.0,18,105,001402,18105001402,14.02,Census Tract 14.02,G5020,S,300071008.0,29703276.0,+39.1516032,-086.4241904,"Census Tract 14.02, Monroe County, Indiana",57148.0,59056.0,5683.0,319.0,5683.0,5305.0,32.0,31.0,81.0,28.0,0.0,93.0,194.0,18,105,001402,0.056132324476508885,0.9334858349463312,0.005630828787612177,0.0054548653879992965,0.06651416505366883,0.014253035368643321,0.004926975189160654,0.0,0.016364596163997887,0.034136899524898824,0.1353977940350358,0.8154160304485109,0.11340292978278485,0.018515833443743444,0.0025014762801024624,0.00040752405954899696,0.02379922663103573,0.025956979354273726,0.07105641155269542,0.1845839695514892,Indiana,56303.0,71164.0,6665703.0,782759.0,6665703.0,5553391.0,626587.0,151979.0,461850.0,15782.0,2506.0,145747.0,169711.0,0,1,0,0,1,0,0,1,0,0,0,1
1,aafp,35.6477424743416,-79.2717820986074,2017-11-15,train,POINT (-79.2717820986074 35.6477424743416),19434.0,1091.0,37,037,020600,37037020600,206,Census Tract 206,G5020,S,303367193.0,2361346.0,+35.6003231,-079.2898170,"Census Tract 206, Chatham County, North Carolina",52431.0,56970.0,5187.0,679.0,5187.0,4117.0,869.0,134.0,303.0,0.0,0.0,1.0,66.0,37,037,020600,0.13090418353576247,0.7937150568729516,0.1675342201657991,0.02583381530749952,0.2062849431270484,0.05841526894158473,0.0,0.0,0.000192789666473877,0.012724117987275883,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,1,0,1,0,0,0,0,0,0,0,1
2,aagm,35.90688526381,-79.1329616264296,2020-06-10,train,POINT (-79.1329616264296 35.90688526381),18723.0,380.0,37,135,010701,37135010701,107.01,Census Tract 107.01,G5020,S,20477897.0,191171.0,+35.9202171,-079.1185866,"Census Tract 107.01, Orange County, North Carolina",109485.0,131111.0,2274.0,184.0,2274.0,1556.0,540.0,16.0,217.0,24.0,0.0,80.0,58.0,37,135,010701,0.08091468777484609,0.6842568161829375,0.23746701846965698,0.007036059806508356,0.31574318381706246,0.09542656112576957,0.010554089709762533,0.0,0.03518029903254178,0.025505716798592787,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,0,1,0,0,0,1,0,1,1,0,0
3,aaia,35.98,-78.7916861916675,2018-06-27,train,POINT (-78.79168619166749 35.98),18997.0,654.0,37,063,001806,37063001806,18.06,Census Tract 18.06,G5020,S,35553236.0,4628390.0,+36.0194166,-078.7902720,"Census Tract 18.06, Durham County, North Carolina",59601.0,70332.0,7416.0,721.0,7416.0,2918.0,3741.0,0.0,738.0,15.0,0.0,416.0,326.0,37,063,001806,0.09722222222222222,0.3934735706580367,0.5044498381877023,0.0,0.6065264293419633,0.09951456310679611,0.0020226537216828477,0.0,0.05609492988133765,0.04395900755124056,0.13662534136952448,0.6881205283203753,0.21739186530733348,0.025458108635877878,0.012358662342982054,0.0007994079685940996,0.030243458621782838,0.02562796880305431,0.0909675471928848,0.31187947167962465,North Carolina,54602.0,68435.0,10264876.0,1325875.0,10264876.0,7049919.0,2200761.0,292992.0,962665.0,123952.0,7213.0,316763.0,273276.0,0,0,1,0,0,0,1,1,1,1,0,0
4,aaql,38.691,-100.924,2018-08-13,train,POINT (-100.924 38.691),69349.0,327.0,20,171,957100,20171957100,9571,Census Tract 9571,G5020,S,1858536839.0,306079.0,+38.4818768,-100.9063604,"Census Tract 9571, Scott County, Kansas",65417.0,75917.0,4917.0,274.0,4917.0,4634.0,0.0,61.0,766.0,4.0,3.0,145.0,70.0,20,171,957100,0.0557250355908074,0.9424445800284726,0.0,0.012405938580435224,0.057555419971527355,0.15578604840349808,0.0008135041692088672,0.0006101281269066504,0.029489526133821435,0.014236322961155175,0.1152385769408098,0.837549340677714,0.06662244038184784,0.02598334967651838,0.008380882176206432,0.0007868148065627427,0.026483430059549458,0.03419374222160111,0.12462156961095079,0.16245065932228597,Kansas,59597.0,75976.0,2910652.0,305642.0,2910652.0,2455935.0,170291.0,85794.0,345680.0,24010.0,2382.0,71683.0,100557.0,0,1,0,0,0,0,1,0,1,0,0,1
5,aarq,39.90293,-75.18015,2017-12-05,test,POINT (-75.18015 39.90293),27771.0,81.0,42,101,037300,42101037300,373,Census Tract 373,G5020,S,2587546.0,145214.0,+39.9024981,-075.1879361,"Census Tract 373, Philadelphia County, Pennsylvania",82230.0,94766.0,5759.0,226.0,5759.0,4684.0,584.0,422.0,746.0,59.0,0.0,0.0,10.0,42,101,037300,0.03924292411877062,0.8133356485500955,0.10140649418301788,0.07327661052266018,0.1866643514499045,0.1295363778433756,0.01024483417259941,0.0,0.0,0.0017364125716270186,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,0,1,0,1,1,0,0,0,1,0,0,0
6,aaxe,37.2486,-120.851,2019-01-17,train,POINT (-120.851 37.2486),37460.0,2247.0,06,047,002000,06047002000,20,Census Tract 20,G5020,S,585314653.0,21109052.0,+37.2000819,-120.9591276,"Census Tract 20, Merced County, California",60521.0,61443.0,8712.0,1871.0,8712.0,6316.0,14.0,20.0,5420.0,37.0,0.0,2069.0,256.0,06,047,002000,0.21476124885215794,0.7249770431588614,0.0016069788797061523,0.002295684113865932,0.27502295684113864,0.6221303948576676,0.004247015610651974,0.0,0.23748852157943068,0.02938475665748393,0.12236374293173113,0.6048675727987227,0.0582908203945456,0.1384788046263071,0.00836603248590504,0.0037439232934668547,0.13789661873663295,0.04835622766441983,0.3808663448957289,0.39513242720127734,California,75235.0,85837.0,39283497.0,4702069.0,39283497.0,23453222.0,2274108.0,5692423.0,15327688.0,303998.0,155290.0,5481792.0,1922664.0,1,1,0,0,0,0,1,0,1,0,0,1
7,abjj,42.056766,-78.879216,2019-09-24,test,POINT (-78.879216 42.056766),25274.0,2502.0,36,009,961300,36009961300,9613,Census Tract 9613,G5020,S,413393836.0,2880671.0,+42.0601841,-078.6744166,"Census Tract 9613, Cattaraugus County, New York",50930.0,65580.0,5046.0,529.0,5046.0,4569.0,153.0,85.0,151.0,97.0,0.0,79.0,63.0,36,009,961300,0.10483551327784384,0.9054696789536266,0.03032104637336504,0.016845025762980578,0.09453032104637336,0.02992469282600079,0.019223147047166073,0.0,0.015655965120887832,0.01248513674197384,0.12818090492416864,0.630265231818001,0.16734050985258794,0.08491145494299186,0.004878076437446107,0.00046494946608804195,0.08076116257585753,0.0313786149070275,0.17918353465626274,0.36973476818199896,New York,68486.0,84385.0,19572319.0,2445767.0,19572319.0,12459687.0,3065471.0,1647606.0,3720983.0,79512.0,8821.0,1694965.0,616257.0,0,1,0,0,1,0,0,0,0,0,0,1
8,aboc,44.761667,-82.783333,2018-04-03,train,POINT (-82.783333 44.761667),68733.0,2768.0,26,001,990000,26001990000,9900,Census Tract 9900,G5020,S,0.0,2802957763.0,+44.6820957,-082.8285924,"Census Tract 9900, Alcona County, Michigan",-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,001,990000,,,,,,,,,,,0.14367138361659088,0.7463139951436776,0.1786555735644621,0.02841707301488656,0.005612057461271172,0.00033179447965660296,0.011642459592199953,0.029027046743846187,0.0500706478195578,0.25368600485632253,Michigan,57144.0,72600.0,9965265.0,1270278.0,9965265.0,7813755.0,1374314.0,311721.0,507353.0,53316.0,3099.0,117801.0,291259.0,0,0,0,0,0,0,0,0,0,0,1,1
9,abrn,41.890646,-78.925275,2017-10-05,test,POINT (-78.925275 41.890646),30894.0,3204.0,42,123,970100,42123970100,9701,Census Tract 9701,G5020,S,310664149.0,25274451.0,+41.9279868,-078.9656334,"Census Tract 9701, Warren County, Pennsylvania",51554.0,62500.0,2247.0,296.0,2247.0,2221.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,42,123,970100,0.1317311971517579,0.9884290164663997,0.008455718736092568,0.0,0.011570983533600357,0.0,0.0,0.0,0.0,0.003115264797507788,0.11959920000397792,0.7980483267693352,0.12211424549149144,0.030980270194210638,0.0019295997156271564,0.00034885889501186384,0.020211395998964137,0.02636730293535956,0.07015937196344414,0.2019516732306648,Pennsylvania,61744.0,78521.0,12791530.0,1406077.0,12791530.0,10300602.0,1430664.0,436324.0,935216.0,24691.0,4198.0,275177.0,319874.0,1,1,0,0,0,0,0,0,0,0,0,1
